instant,season,yr,mnth,time,holiday,weekday,workingday,weather,temp,feeltemp,humidity,windspeed,casual,registered,count
8646,1,1,1,1,0,0,0,1,14.76,18.94,66,0,5,43,48
8647,1,1,1,1,0,0,0,1,14.76,17.425,66,8.9981,15,78,93
8648,1,1,1,1,0,0,0,1,13.12,17.425,76,0,16,59,75
8649,1,1,1,1,0,0,0,1,12.3,16.665,81,0,11,41,52
8650,1,1,1,1,0,0,0,1,11.48,15.15,81,6.0032,0,8,8
8651,1,1,1,1,0,0,0,1,11.48,14.395,81,7.0015,0,5,5
8652,1,1,1,1,0,0,0,1,10.66,13.635,93,8.9981,1,1,2
8653,1,1,1,2,0,0,0,1,10.66,12.88,93,11.0014,1,6,7
8654,1,1,1,2,0,0,0,1,10.66,13.635,87,7.0015,4,10,14
8655,1,1,1,2,0,0,0,1,10.66,13.635,93,7.0015,13,27,40
8656,1,1,1,3,0,0,0,1,12.3,15.91,81,7.0015,18,52,70
8657,1,1,1,3,0,0,0,1,13.94,16.665,76,8.9981,40,98,138
8658,1,1,1,3,0,0,0,1,16.4,20.455,62,19.0012,58,143,201
8659,1,1,1,3,0,0,0,1,17.22,21.21,58,19.0012,82,141,223
8660,1,1,1,3,0,0,0,1,18.04,21.97,54,19.9995,120,147,267
8661,1,1,1,3,0,0,0,1,18.86,22.725,51,19.9995,101,164,265
8662,1,1,1,3,0,0,0,2,18.04,21.97,54,19.9995,68,147,215
8663,1,1,1,3,0,0,0,2,19.68,23.485,48,11.0014,36,75,111
8664,1,1,1,4,0,0,0,3,18.86,22.725,59,16.9979,25,81,106
8665,1,1,1,4,0,0,0,3,17.22,21.21,67,26.0027,20,85,105
8666,1,1,1,4,0,0,0,2,18.04,21.97,62,19.9995,25,58,83
8667,1,1,1,4,0,0,0,2,18.04,21.97,67,16.9979,10,61,71
8668,1,1,1,1,0,0,0,1,18.86,22.725,55,27.9993,13,53,66
8669,1,1,1,1,0,0,0,1,18.04,21.97,51,19.9995,4,25,29
8670,1,1,1,1,1,1,0,1,16.4,20.455,40,31.0009,8,31,39
8671,1,1,1,1,1,1,0,1,14.76,16.665,43,27.9993,1,11,12
8672,1,1,1,1,1,1,0,1,14.76,15.91,34,30.0026,1,6,7
8673,1,1,1,1,1,1,0,1,11.48,12.88,45,22.0028,0,4,4
8674,1,1,1,1,1,1,0,1,11.48,12.88,45,22.0028,1,3,4
8675,1,1,1,1,1,1,0,1,10.66,11.365,41,26.0027,0,14,14
8676,1,1,1,2,1,1,0,1,9.84,10.605,32,26.0027,0,16,16
8677,1,1,1,2,1,1,0,1,9.84,11.365,35,16.9979,2,51,53
8678,1,1,1,2,1,1,0,1,9.84,12.88,35,0,15,53,68
8679,1,1,1,3,1,1,0,1,10.66,12.12,35,19.0012,20,89,109
8680,1,1,1,3,1,1,0,1,10.66,10.605,35,32.9975,33,142,175
8681,1,1,1,3,1,1,0,1,11.48,13.635,36,16.9979,41,161,202
8682,1,1,1,3,1,1,0,1,12.3,13.635,36,19.9995,26,150,176
8683,1,1,1,3,1,1,0,1,12.3,13.635,36,27.9993,10,141,151
8684,1,1,1,3,1,1,0,1,11.48,12.12,38,30.0026,29,139,168
8685,1,1,1,3,1,1,0,1,10.66,11.365,35,27.9993,10,144,154
8686,1,1,1,3,1,1,0,1,10.66,11.365,35,26.0027,17,136,153
8687,1,1,1,4,1,1,0,1,10.66,12.12,33,16.9979,13,113,126
8688,1,1,1,4,1,1,0,1,9.84,11.365,38,15.0013,4,89,93
8689,1,1,1,4,1,1,0,1,9.84,11.365,41,15.0013,5,83,88
8690,1,1,1,4,1,1,0,2,9.84,10.605,41,22.0028,3,63,66
8691,1,1,1,1,1,1,0,2,9.02,10.605,44,19.0012,3,36,39
8692,1,1,1,1,1,1,0,1,9.02,10.605,44,16.9979,2,32,34
8693,1,1,1,1,0,2,1,1,8.2,9.85,51,16.9979,0,13,13
8694,1,1,1,1,0,2,1,1,7.38,9.09,55,15.0013,1,5,6
8695,1,1,1,1,0,2,1,1,7.38,8.335,51,16.9979,0,3,3
8696,1,1,1,1,0,2,1,1,6.56,6.82,55,19.0012,0,2,2
8697,1,1,1,1,0,2,1,1,6.56,7.575,55,16.9979,0,5,5
8698,1,1,1,1,0,2,1,1,5.74,6.82,54,12.998,0,12,12
8699,1,1,1,1,0,2,1,1,5.74,6.06,59,19.0012,4,81,85
8700,1,1,1,2,0,2,1,1,5.74,6.06,59,16.9979,2,168,170
8701,1,1,1,2,0,2,1,1,6.56,6.82,55,19.0012,5,349,354
8702,1,1,1,2,0,2,1,1,6.56,6.82,50,19.0012,8,145,153
8703,1,1,1,3,0,2,1,1,6.56,6.06,47,31.0009,5,55,60
8704,1,1,1,3,0,2,1,1,7.38,6.82,37,35.0008,12,63,75
8705,1,1,1,3,0,2,1,1,7.38,6.82,37,35.0008,4,70,74
8706,1,1,1,3,0,2,1,1,7.38,6.06,34,43.9989,5,68,73
8707,1,1,1,3,0,2,1,1,6.56,6.06,43,35.0008,7,72,79
8708,1,1,1,3,0,2,1,1,6.56,6.06,37,27.9993,9,68,77
8709,1,1,1,3,0,2,1,1,5.74,4.545,39,39.0007,7,129,136
8710,1,1,1,3,0,2,1,1,5.74,5.305,26,31.0009,4,241,245
8711,1,1,1,4,0,2,1,1,5.74,4.545,26,35.0008,10,214,224
8712,1,1,1,4,0,2,1,1,4.92,4.545,28,27.9993,4,152,156
8713,1,1,1,4,0,2,1,1,4.92,6.06,33,16.9979,0,115,115
8714,1,1,1,4,0,2,1,1,4.1,5.305,36,15.0013,2,66,68
8715,1,1,1,1,0,2,1,1,4.1,5.305,46,16.9979,0,33,33
8716,1,1,1,1,0,2,1,1,4.1,3.79,46,26.0027,0,18,18
8717,1,1,1,1,0,3,1,1,3.28,3.03,42,22.0028,0,9,9
8718,1,1,1,1,0,3,1,1,1.64,1.515,38,19.9995,0,3,3
8719,1,1,1,1,0,3,1,1,0.82,0.76,34,19.0012,0,1,1
8720,1,1,1,1,0,3,1,1,0.82,0.76,34,19.0012,0,1,1
8721,1,1,1,1,0,3,1,1,0.82,2.275,41,12.998,0,2,2
8722,1,1,1,1,0,3,1,1,0.82,2.275,41,12.998,0,14,14
8723,1,1,1,1,0,3,1,1,0.82,2.275,41,11.0014,0,59,59
8724,1,1,1,2,0,3,1,1,0.82,2.275,44,12.998,1,151,152
8725,1,1,1,2,0,3,1,1,0.82,3.03,44,8.9981,5,310,315
8726,1,1,1,2,0,3,1,1,1.64,3.03,45,8.9981,7,173,180
8727,1,1,1,3,0,3,1,1,2.46,5.305,45,0,7,57,64
8728,1,1,1,3,0,3,1,2,3.28,6.06,42,6.0032,6,40,46
8729,1,1,1,3,0,3,1,2,4.1,5.305,46,12.998,9,75,84
8730,1,1,1,3,0,3,1,2,5.74,6.06,43,16.9979,9,82,91
8731,1,1,1,3,0,3,1,2,5.74,6.06,46,16.9979,6,69,75
8732,1,1,1,3,0,3,1,2,7.38,7.575,37,22.0028,9,81,90
8733,1,1,1,3,0,3,1,2,7.38,8.335,40,19.0012,8,123,131
8734,1,1,1,3,0,3,1,2,8.2,9.85,40,12.998,9,272,281
8735,1,1,1,4,0,3,1,2,8.2,10.605,37,8.9981,9,280,289
8736,1,1,1,4,0,3,1,2,8.2,11.365,40,7.0015,2,182,184
8737,1,1,1,4,0,3,1,2,8.2,9.85,40,12.998,2,121,123
8738,1,1,1,4,0,3,1,2,8.2,12.88,44,0,2,88,90
8739,1,1,1,1,0,3,1,2,8.2,11.365,47,6.0032,4,48,52
8740,1,1,1,1,0,3,1,2,8.2,11.365,44,7.0015,0,32,32
8741,1,1,1,1,0,4,1,2,9.02,11.365,47,12.998,1,13,14
8742,1,1,1,1,0,4,1,1,8.2,11.365,51,6.0032,0,5,5
8743,1,1,1,1,0,4,1,1,8.2,11.365,51,6.0032,0,4,4
8744,1,1,1,1,0,4,1,1,8.2,12.88,61,0,0,4,4
8745,1,1,1,1,0,4,1,2,8.2,11.365,59,6.0032,0,5,5
8746,1,1,1,1,0,4,1,2,8.2,11.365,59,6.0032,0,26,26
8747,1,1,1,1,0,4,1,2,8.2,10.605,75,8.9981,0,78,78
